word,freq
'a,6321
'a',1736
'a'a,35
'ad,875
'air,77
'alf,168
'am,189
'ammer,21
'aporth,7
'appen,147
'appier,7
'appy,182
'ard,203
'arf,70
'arriet,7
'arry,63
'art,119
'as,1680
'at,896
'ave,1743
'aven't,203
'avin',133
'bacco,7
'bot,7
'bout,1855
'bouta,7
'bus,266
'buses,98
'busses,21
'bye,7
'cause,1358
'cello,56
'cellos,14
'cept,217
'change,196
'chute,14
'clare,7
'coon,35
'coons,21
'copter,140
'copters,14
'cos,252
'course,378
'd,1183
'deed,91
'dis,49
'do,2086
'dog,14
'dogs,21
'e,3094
'e'll,98
'e's,854
'ead,238
'eads,14
'ear,252
'eard,210
'eart,70
'ee,1666
'eld,35
'ello,21
'elp,210
'em,23975
'emselves,14
'er,1652
'ere,2009
'fit,7
'fore,462
'fraid,329
'fro,7
'gainst,1218
'gator,7
'gators,7
'hem,21
'ho,168
'hon,7
'hoppers,14
'i,31920
'igh,70
'ighness,21
'ill,98
'im,3304
'is,3829
'istorical,7
'istory,7
'it,6727
'its,14
'kay,14
'keepers,7
'less,119
'lizabeth,49
'll,490
'lo,77
'long,497
'low,420
'm,3080
'magination,7
'mater,7
'member,105
'mid,700
'midst,385
'mon,7
'mong,63
'mongst,98
'n,784
'n',280
'nation,7
'neath,553
'nother,280
'nough,224
'nuff,28
'og,14
'ogs,7
'old,623
'ole,126
'oliday,7
'oly,35
'ome,336
'omes,7
'onour,14
'ooman,56
'ope,147
'orrible,21
'orse,56
'orses,70
'ospital,35
'oss,7
'osses,7
'our,497
'ours,7
'ow,567
'phone,329
'phoned,154
'phoning,28
'plane,7
'pon,343
'prentice,217
'prenticed,21
'prentices,112
'q,7
'que,28
'r,147
'ra,7
're,588
'rest,56
'rickshaw,14
'rithmetic,21
'round,462
'rt,28
's,9380
'scuse,91
'scutcheon,21
'sdeath,77
'sides,28
'specially,112
'spectable,28
'sposin',7
'sup,14
't,2485
'tain't,448
'taint,91
'tec,7
'tecs,7
'tend,105
'tended,14
'tending,7
'tends,7
'til,693
'till,245
'tis,15771
'tisn't,294
'titled,7
'twa'n't,140
'twas,7196
'twasn't,119
'tween,112
'twere,1246
'tweren't,49
'twill,1050
'twixt,1134
'twon't,112
'twould,833
'twouldn't,70
'ud,504
'ull,77
'ullo,147
'um,21
'umble,14
'un,651
'uns,126
'urry,49
've,672
'verses,7
'way,742
'zackly,14
'zactly,42
a,6353067
a',2611
a'a,168
a'body,7
a'n't,49
a'right,21
a's,1190
aa,6720
aaa,609
aaaa,189
aaaaaa,119
aaaai,7
aaas,7
aaav,7
aab,7
aac,14
aach,28
aacl,7
aaco,7
aact,14
aad,336
aae,7
aaf,70
aag,21
aah,189
aai,77
aaii,7
aaing,7
aaj,7
aak,28
aal,35
aalto,7
aam,28
aamc,28
aams,7
aan,49
aani,7
aans,7
aao,21
aap,7
aar,28
aarau,35
aare,273
aarf,42
aargau,7
aari,7
aaron,7378
aaron's,749
aaronites,42
aarons,7
aas,182
aat,168
aau,7
aaus,7
aav,35
aave,21
aaw,42
aax,7
aay,168
ab,2219
ab's,7
abaa,7
ababdeh,14
abac,42
aback,1127
abaco,14
abacus,70
abaddon,119
abaft,1211
abagtha,21
abaht,42
abalone,154
abalones,35
aban,217
abana,28
abandon,3949
abandon'd,21
abandoned,8422
abandonedly,21
abandoneth,7
abandoning,924
abandonment,1120
abandonments,7
abandons,161
abaout,154
abart,7
abase,196
abased,273
abasement,413
abases,14
abash,28
abashed,833
abasheth,7
abashless,7
abashment,14
abasht,49
abasing,28
abassin,7
abate,483
abated,896
abatement,259
abater,7
abates,70
abateth,7
abating,154
abatis,21
abattis,49
abattoir,28
abattu,7
abave,7
abb,56
abba,84
abbacies,42
abbacy,49
abbas,63
abbaye,14
abbe,805
abbe's,63
abbes,7
abbess,322
abbethdin,21
abbett,7
abbeville,21
abbey,3773
abbey's,14
abbeys,210
abbie,1435
abbie's,378
abbies,7
abbitt,7
abbot,2632
abbot's,89
abbots,623
abbotsford,63
abbott,462
abbott's,35
abbozzi,7
abbreviate,21
abbreviated,203
abbreviation,119
abbreviations,91
abby,574
abby's,105
abc,133
abcde,21
abd,49
abda,42
abdallah,21
abdenago,154
abdera,7
abdi,63
abdias,98
abdicate,147
abdicated,202
abdicates,7
abdicating,35
abdication,322
abdiel,63
abdomen,875
abdomens,42
abdominal,175
abdon,168
abduct,63
abducted,112
abducting,14
abduction,245
abductions,14
abductor,56
abductors,49
abdul,1260
abdul's,14
abdullah,56
abdullahi,14
abe,1078
abe's,35
abeam,56
abeat,7
abed,273
abednego,357
abel,2639
abel's,231
abelard,189
abelard's,42
abele,14
abeles,21
abell,7
abenakis,7
abencerrages,7
abend,35
aber,105
abercrombie,13
abercromby,70
aberdeen,287
aberdeenshire,28
aberfoyle,7
abernathy,14
abernethy,91
aberrancy,7
aberrant,14
aberrated,7
aberration,175
aberrations,112
abet,133
abets,14
abettal,7
abetted,259
abetting,98
abettor,14
abettors,126
abey,21
abeyance,448
abgatha,7
abha,14
abhimanyu,273
abhisheka,14
abhominable,28
abhor,924
abhorred,973
abhorrence,567
abhorrences,7
abhorrency,14
abhorrent,336
abhorrers,7
abhorrest,42
abhorreth,126
abhorring,112
abhors,105
abi,63
abia,98
abiah,91
abiathar,630
abiathar's,21
abib,126
abid,105
abide,4627
abided,91
abiders,7
abides,385
abidest,28
abideth,805
abiding,1568
abie,7
abies,35
abiezer,147
abiezrite,21
abiezrites,42
abigail,427
abigail's,14
abigor,7
abihu,252
abijah,434
abijam,105
abilene,343
abilitie,21
abilities,1882
ability,7007
abime,7
abimelech,1358
abimelech's,42
abingdon,91
abinoam,84
abishag,105
abit,42
abite,7
abject,1218
abjectest,7
abjection,35
abjectly,231
abjectness,63
abjects,21
abjuration,140
abjure,119
abjured,91
abjures,14
abjuring,7
ablation,7
ablative,70
ablaze,545
able,66430
able's,7
ablebodied,14
abled,28
ableness,35
abler,278
ables,21
ablest,767
abloom,14
ablution,84
ablutions,161
ably,1078
abnegated,7
abnegation,238
abner,1722
abner's,56
abney,658
abnormal,1001
