word,freq
',138449
'',7466
''',483
'''',98
''''',56
'''''',7
'''''''',7
'''''''j,7
'''''a,7
'''''a'',7
'''''l',7
''''a,21
''''a',14
''''ai,7
''''c'ti',7
''''f,7
''''their',7
''''wsz'',7
'''a,42
'''a',21
'''aa,7
'''aa'aa,7
'''aal,7
'''ai,7
'''and,7
'''at,7
'''bodief'',7
'''but,7
'''fa'',7
'''had,7
'''his,7
'''i,21
'''i'a'''',7
'''ij,7
'''inot''',7
'''is,14
'''j,7
'''jesuit,7
'''jf'',7
'''m,7
'''mediums,7
'''o'rders,7
'''s,20
'''soritr,7
'''tfilin',7
'''uaia,7
'''v,7
''a,328
''a',21
''a'a''a,7
''a'aai',7
''a'church,7
''a'eiy,7
''a'iieiiu,7
''aa,21
''aa',7
''aa'',7
''aa''aa,7
''aa'p',7
''aaa,7
''aaaa,7
''af,7
''afi,7
''ah,21
''ai,7
''aia',7
''alison,7
''alma,7
''almost,7
''ama,7
''amen,7
''ammond,7
''ammond',28
''ancestors,7
''and,112
''angel,7
''are,7
''arj',7
''arrarha'',7
''as,7
''asikh,7
''asptrit'',7
''assembly'',7
''astor,21
''at,14
''aunt,7
''ave,14
''ayaf',7
''b'i',7
''babe,7
''be,7
''because,21
''beer,7
''big,7
''bight,7
''bill,7
''bird's,6
''blues,7
''bool'',7
''boora,7
''bout,14
''brace,7
''buffet,7
''but,98
''by,14
''c,7
''caitiffs,7
''canyons,7
''captain,7
''catholic,7
''cause,21
''certainly,7
''cod,7
''come,35
''con,14
''conscious,7
''cos,7
''cours,7
''course,21
''cousin,7
''cove,7
''coverlid,7
''culture,7
''czxl,7
''dad,7
''daughter,7
''dear,14
''did,7
''dirir,7
''disciple,7
''diut,7
''do,28
''does,7
''don't,63
''dowdy,7
''dumb,7
''dust',7
''dutchmen,7
''e,21
''e'',7
''e's,14
''earle,7
''eavens',7
''edge',35
''eearjcen,7
''eearken,14
''eia'a,7
''eil',7
''elijah's,7
''enemy,7
''entremets'',7
''eoorar,7
''epistles,7
''er,7
''ere,21
''ere',14
''especially,7
''ess,7
''est,21
''esther,14
''etavtov,7
''even,14
''everybody,14
''except,7
''f,21
''faith,7
''father,21
''fectionate,7
''feevmind'iiere,7
''felo,7
''fhe,7
''fia,7
''five,14
''five',7
''follow,7
''followed,7
''for,7
''ford,7
''forlorn,7
''forty,7
''four,42
''g,7
''general,7
''generous,7
''get,7
''give,14
''go,14
''god,14
''going,7
''good,35
