age_months;lang;total_words
0;eng;10
1;eng;1
3;eng;27
5;eng;346
6;eng;2045
7;eng;5826
8;eng;3284
9;eng;16316
10;eng;9558
11;eng;7228
12;eng;9512
13;eng;2548
14;eng;16821
15;eng;31147
16;eng;7100
17;eng;13966
18;eng;30427
19;eng;32850
20;eng;37585
21;eng;53813
22;eng;52550
23;eng;98517
24;eng;292701
25;eng;192205
26;eng;196702
27;eng;212704
28;eng;224322
29;eng;260006
30;eng;269414
31;eng;262999
32;eng;246381
33;eng;247261
34;eng;241646
35;eng;199372
36;eng;415510
37;eng;157718
38;eng;121550
39;eng;116323
40;eng;83699
41;eng;76189
42;eng;97442
43;eng;68208
44;eng;70597
45;eng;73727
46;eng;62089
47;eng;62661
48;eng;85777
49;eng;65672
50;eng;65877
51;eng;63226
52;eng;70399
53;eng;58274
54;eng;77619
55;eng;61250
56;eng;69209
57;eng;440130
58;eng;78487
59;eng;79999
60;eng;60623
61;eng;29845
62;eng;26411
63;eng;19808
64;eng;16792
65;eng;13476
66;eng;37415
67;eng;23862
68;eng;19457
69;eng;22097
70;eng;16847
71;eng;13659
72;eng;15765
73;eng;8515
74;eng;4609
75;eng;7599
76;eng;7521
77;eng;7592
78;eng;7468
79;eng;9587
80;eng;4302
81;eng;13405
82;eng;10319
83;eng;19678
84;eng;22604
85;eng;19319
86;eng;14097
87;eng;16093
88;eng;14347
89;eng;19711
90;eng;18728
91;eng;10031
92;eng;3858
93;eng;3325
94;eng;1750
95;eng;3232
96;eng;1113
97;eng;194
98;eng;6437
99;eng;2087
100;eng;6513
101;eng;3486
102;eng;610
103;eng;2542
104;eng;1018
105;eng;2821
106;eng;4619
107;eng;1749
108;eng;1879
109;eng;8000
110;eng;1962
111;eng;6339
112;eng;12795
113;eng;3912
114;eng;10858
115;eng;3247
116;eng;6373
117;eng;11066
118;eng;2213
119;eng;1208
120;eng;6518
121;eng;7079
122;eng;3344
123;eng;4355
125;eng;1109
126;eng;2097
128;eng;692
129;eng;477
130;eng;1443
131;eng;402
132;eng;7312
133;eng;852
134;eng;106
135;eng;4770
136;eng;5316
137;eng;57
139;eng;129
140;eng;298
141;eng;297
142;eng;3150
143;eng;147
144;eng;189
146;eng;1202
147;eng;656
148;eng;1206
152;eng;2716
153;eng;4071
155;eng;1655
156;eng;1991
157;eng;1824
158;eng;1561
162;eng;3621
171;eng;3327
183;eng;1708
52;eng, zho;1682
53;zho, eng;2127
